EMPRESA,TICKER,CNPJ
CURY CONSTRUTORA E INCORPORADORA S.A.,CURY3,8797760000183
CVC BRASIL OPERADORA E AGÊNCIA DE VIAGENS S.A.,CVCB3,10760260000119
CYRELA BRAZIL REALTY S.A. EMPREENDIMENTOS E PARTICIPAÇÕES,CYRE3,73178600000118
D1000 VAREJO FARMA PARTICIPAÇÕES S.A.,DMVF3,12108897000150
DESKTOP – SIGMANET COMUNICAÇÃO MULTIMÍDIA S.A.,DESK3,8170849000115
DEXCO S.A.,DXCO3,97837181000147
DEXXOS PARTICIPAÇÕES S.A.,DEXP3,2193750000152
DEXXOS PARTICIPAÇÕES S.A.,DEXP4,2193750000152
DIAGNÓSTICOS DA AMÉRICA S.A.,DASA3,61486650000183
DIMED S.A. DISTRIBUIDORA DE MEDICAMENTOS,PNVL3,92665611000177
DIRECIONAL ENGENHARIA S.A.,DIRR3,16614075000100
DOTZ S.A.,DOTZ3,18174270000184
ECORODOVIAS INFRAESTRUTURA E LOGÍSTICA S.A.,ECOR3,4149454000180
EDP – ENERGIAS DO BRASIL S.A.,ENBR3,3983431000103
ELETROMIDIA S.A.,ELMD3,9347516000181
EMBRAER S.A.,EMBR3,7689002000189
EMPREENDIMENTOS PAGUE MENOS S.A.,PGMN3,6626253000151
ENAUTA PARTICIPAÇÕES S.A.,ENAT3,11669021000110
ENERGISA S.A.,ENGI3,864214000106
ENERGISA S.A.,ENGI4,864214000106
ENERGISA S.A.,ENGI11,864214000106
ENEVA S.A.,ENEV3,4423567000121
ENGIE BRASIL ENERGIA S.A.,EGIE3,2474103000119
ENJOEI S.A.,ENJU3,16922038000151
EQUATORIAL ENERGIA S.A.,EQTL3,3220438000173
ETERNIT S.A.,ETER3,61092037000181
EUCATEX S.A. INDÚSTRIA E COMÉRCIO,EUCA3,56643018000166
EUCATEX S.A. INDÚSTRIA E COMÉRCIO,EUCA4,56643018000166
EVEN CONSTRUTORA E INCORPORADORA S.A.,EVEN3,43470988000165
EZ TEC EMPREENDIMENTOS E PARTICIPAÇÕES S.A.,EZTC3,8312229000173
FERTILIZANTES HERINGER S.A.,FHER3,22266175000188
FLEURY S.A.,FLRY3,60840055000131
FOCUS ENERGIA HOLDING PARTICIPAÇÕES S.A.,POWE3,26735020000102
FRAS-LE S.A.,FRAS3,88610126000129
GAFISA S.A.,GFSA3,1545826000107
GERDAU S.A.,GGBR3,33611500000119
GERDAU S.A.,GGBR4,33611500000119
GETNINJAS S.A.,NINJ3,14127813000151
GOL LINHAS AÉREAS INTELIGENTES S.A.,GOLL4,6164253000187
GPS PARTICIPAÇÕES E EMPREENDIMENTOS S.A.,GGPS3,9229201000130
GRENDENE S.A.,GRND3,89850341000160
GRUPO DE MODA SOMA S.A.,SOMA3,10285590000108
GRUPO MATEUS S.A.,GMAT3,24990777000109
GRUPO SBF SA,SBFG3,13217485000111
HAPVIDA PARTICIPAÇÕES E INVESTIMENTOS SA,HAPV3,5197443000138
HBR REALTY EMPREENDIMENTOS IMOBILIÁRIOS S/A,HBRE3,14785152000151
HELBOR EMPREENDIMENTOS S.A.,HBOR3,49263189000102
HIDROVIAS DO BRASIL S.A.,HBSA3,12648327000153
HOSPITAL MATER DEI S/A,MATD3,16676520000159
HYPERA S.A.,HYPE3,2932074000191
IGUATEMI EMPRESA DE SHOPPING CENTERS S.A.,IGTA3,51218147000193
INDÚSTRIAS ROMI S.A.,ROMI3,56720428000163
INFRACOMMERCE CXAAS S.A.,IFCM3,38546921000136
INSTITUTO HERMES PARDINI S.A.,PARD3,19378769000176
INTELBRAS S.A. INDÚSTRIA DE TELECOMUNICAÇÕES ELETRÔNICA BRASILEIRA,INTB3,82901000000127
INTERNATIONAL MEAL COMPANY ALIMENTAÇÃO S.A.,MEAL3,17314329000120
IOCHPE MAXION S.A.,MYPK3,61156113000175
IRANI PAPEL E EMBALAGEM S.A.,RANI3,92791243000103
IRB – BRASIL RESSEGUROS S.A.,IRBR3,33376989000191
ITAÚ UNIBANCO HOLDING S.A.,ITUB3,60872504000123
ITAÚ UNIBANCO HOLDING S.A.,ITUB4,60872504000123
ITAUSA S.A.,ITSA3,61532644000115
ITAUSA S.A.,ITSA4,61532644000115
JALLES MACHADO S.A.,JALL3,2635522000195
JBS S.A.,JBSS3,2916265000160
JHSF PARTICIPAÇÕES S.A.,JHSF3,8294224000165
JSL S.A.,JSLG3,52548435000179
KLABIN S.A.,KLBN3,89637490000145
KLABIN S.A.,KLBN4,89637490000145
KLABIN S.A.,KLBN11,89637490000145
KORA SAÚDE PARTICIPAÇÕES S.A.,KRSA3,13270520000166
LAVVI EMPREENDIMENTOS IMOBILIÁRIOS S.A.,LAVV3,26462693000128
LIGHT S.A.,LIGT3,3378521000175
LIVETECH DA BAHIA INDÚSTRIA E COMÉRCIO S/A,LVTC3,5917486000140
LOCALIZA RENT A CAR S.A.,RENT3,16670085000155
LOCAWEB SERVIÇOS DE INTERNET S.A.,LWSA3,2351877000152
LOG COMMERCIAL PROPERTIES,LOGG3,9041168000110
LOG-IN LOGÍSTICA INTERMODAL S.A.,LOGN3,42278291000124
LOJAS AMERICANAS S.A.,LAME3,33014556000196
LOJAS AMERICANAS S.A.,LAME4,33014556000196
LOJAS QUERO-QUERO S.A.,LJQQ3,96418264021802
LOJAS RENNER S.A.,LREN3,92754738000162
LPS BRASIL – CONSULTORIA DE IMÓVEIS S.A.,LPSB3,8078847000109
LUPATECH S.A.,LUPA3,89463822000112
LUPATECH S.A.,LUPA11,89463822000112
M. DIAS BRANCO S.A. INDÚSTRIA E COMÉRCIO DE ALIMENTOS,MDIA3,7206816000115
MAGAZINE LUIZA S.A.,MGLU3,47960950000121
MAHLE-METAL LEVE S.A.,LEVE3,60476884000187
MARCOPOLO S.A.,POMO3,88611835000129
MARCOPOLO S.A.,POMO4,88611835000129
MARFRIG GLOBAL FOODS S.A.,MRFG3,3853896000140
MARISA LOJAS S.A.,AMAR3,61189288000189
MÉLIUZ S.A.,CASH3,14110585000107
MELNICK DESENVOLVIMENTO IMOBILIÁRIO S.A.,MELK3,12181987000177
METALFRIO SOLUTIONS S.A.,FRIO3,4821041000108
METALÚRGICA GERDAU S.A.,GOAU3,92690783000109
METALÚRGICA GERDAU S.A.,GOAU4,92690783000109
MILLS ESTRUTURAS E SERVIÇOS DE ENGENHARIA S.A.,MILS3,27093558000115
MINERVA S.A.,BEEF3,67260377000114
MINERVA S.A.,BEEEF11,67260377000114
MITRE REALTY EMPREENDIMENTOS E PARTICIPAÇÕES S.A.,MTRE3,7882930000165
MMX MINERAÇÃO E METÁLICOS S.A.,MMXM3,2762115000149
MMX MINERAÇÃO E METÁLICOS S.A.,MMXM11,2762115000149
MOBLY S.A.,MBLY3,31553627000101
MOSAICO TECNOLOGIA AO CONSUMIDOR S.A.,MOSI3,9083175000184
MOURA DUBEUX ENGENHARIA S/A,MDNE3,12049631000184
MOVIDA PARTICIPAÇÕES S.A.,MOVI3,21314559000166
MPM CORPÓREOS S.A.,ESPA3,26659061000159
MRV ENGENHARIA E PARTICIPAÇÕES S.A.,MRVE3,8343492000120
MULTILASER INDUSTRIAL S.A.,MLAS3,59717553000102
MULTIPLAN – EMPREENDIMENTOS IMOBILIÁRIOS S.A.,MULT3,7816890000153
NATURA & CO HOLDING S.A.,NTCO3,32785497000197
NEOENERGIA S.A.,NEOE3,1083200000118
NEOGRID PATICIPAÇÕES S.A.,NGRD3,10139870000108
NOTRE DAME INTERMÉDICA PARTICIPAÇÕES S.A.,GNDI3,19853511000184
OCEANPACT SERVIÇOS MARÍTIMOS S.A.,OPCT3,9114805000130
ODONTOPREV S.A.,ODPV3,58119199000151
OI S.A.,OIBR3,76535764000143
OI S.A.,OIBR4,76535764000143
OMEGA GERAÇÃO S.A.,OMGE3,9149503000106
ONCOCLÍNICAS DO BRASIL SERVIÇOS MÉDICOS S.A.,ONCO3,12104241000402
ORIZON VALORIZAÇÃO DE RESÍDUOS S.A.,ORVR3,11421994000136
OSX BRASIL S.A.,OSXB3,9112685000132
OURO FINO SAÚDE ANIMAL PARTICIPAÇÕES S.A.,OFSA3,20258278000170
PADTEC HOLDING S.A.,PDTC3,2365069000144
PARANAPANEMA S.A.,PMAM3,60398369000479
PBG S/A,PTBL3,83475913000191
PETRÓLEO BRASILEIRO S.A. PETROBRAS,PETR3,33000167000101
PETRÓLEO BRASILEIRO S.A. PETROBRAS,PETR4,33000167000101
PDG REALTY S.A. EMPREENDIMENTOS E PARTICIPAÇÕES,PDGR3,2950811000189
PET CENTER COMÉRCIO E PARTICIPAÇÕES S.A.,PETZ3,18328118000109
PETRO RIO S.A.,PRIO3,10629105000168
PETRORECÔNCAVO S.A.,RECV3,3342704000130
PLANO E PLANO DESENVOLVIMENTO IMOBILIÁRIO S.A.,PLPL3,24230275000180
POMIFRUTAS S/A,FRTA3,86550951000150
PORTO SEGURO S.A.,PSSA3,2149205000169
POSITIVO TECNOLOGIA S.A.,POSI3,81243735000148
PRINER SERVIÇOS INDUSTRIAIS S.A.,PRNR3,18593815000197
PROFARMA DISTRIBUIDORA DE PRODUTOS FARMACÊUTICOS S.A.,PFRM3,45453214000151
QUALICORP CONSULTORIA E CORRETORA DE SEGUROS S.A.,QUAL3,11992680000193
RAIA DROGASIL S.A.,RADL3,61585865000151
RAIZEN S.A.,RAIZ4,33453598000123
RANDON S.A. IMPLEMENTOS E PARTICIPAÇÕES,RAPT3,89086144000116
RANDON S.A. IMPLEMENTOS E PARTICIPAÇÕES,RAPT4,89086144000116
REDE DOR SÃO LUIZ S.A.,RDOR3,6047087000139
RENOVA ENERGIA S.A.,RNEW3,8534605000174
RENOVA ENERGIA S.A.,RNEW4,8534605000174
RENOVA ENERGIA S.A.,RNEW11,8534605000174
RESTOQUE COMÉRCIO E CONFECÇÕES DE ROUPAS S.A.,LLIS3,49669856000143
RNI NEGÓCIOS IMOBILIÁRIOS S.A.,RDNI3,67010660000124
ROSSI RESIDENCIAL S.A.,RSID3,61065751000180
RUMO S.A.,RAIL3,2387241000160
SANTOS BRASIL PARTICIPAÇÕES S.A.,STBP3,2762121000104
SÃO CARLOS EMPREENDIMENTOS E PARTICIPAÇÕES S.A.,SCAR3,29780061000109
SÃO MARTINHO S.A.,SMTO3,51466860000156
SARAIVA LIVREIROS S.A.,SLED3,60500139000126
SARAIVA LIVREIROS S.A.,SLED4,60500139000126
SARAIVA LIVREIROS S.A.,SLED11,60500139000126
SENDAS DISTRIBUIDORA S.A.,ASAI3,6057223000171
SEQUOIA LOGÍSTICA E TRANSPORTES S.A.,SEQL3,1599101000193
SER EDUCACIONAL S.A.,SEER3,4986320000113
SIMPAR S.A.,SIMH3,7415333000120
SINQIA S.A.,SQIA3,4065791000199
SLC AGRÍCOLA S.A.,SLCE3,89096457000155
SMARTFIT ESCOLA DE GINÁSTICA E DANÇA S.A.,SMFT3,7594978000179
SPRINGS GLOBAL PARTICIPAÇÕES S.A.,SGPS3,7718269000157
SUL AMERICA S.A.,SULA3,29978814000187
SUL AMERICA S.A.,SULA4,29978814000187
SUL AMERICA S.A.,SULA11,29978814000187
SUZANO S.A.,SUZB3,16404287000155
SYN PROP E TECH S.A.,SYNE3,8801621000186
T4F ENTRETENIMENTO S.A.,SHOW3,2860694000162
TAURUS ARMAS S.A.,TASA3,92781335000102
TAURUS ARMAS S.A.,TASA4,92781335000102
TC TRADERS CLUB S.A.,TRAD3,26345998000150
TECHNOS S.A.,TECN3,9295063000197
TECNISA S.A.,TCSA3,8065557000112
TEGMA GESTÃO LOGÍSTICA S.A.,TGMA3,2351144000118
TERRA SANTA PROPRIEDADES AGRÍCOLAS S.A.,LAND3,40337136000106
TIM S.A.,TIMS3,2421421000111
TOTVS S.A.,TOTS3,53113791000122
TPI – TRIUNFO PARTICIPAÇÕES E INVESTIMENTOS S.A.,TPIS3,3014553000191
TRACK & FIELDS CO S.A.,TFCO4,59418806000147
TRANSMISSORA ALIANÇA DE ENERGIA ELÉTRICA S.A,TAEE3,7859971000130
TRANSMISSORA ALIANÇA DE ENERGIA ELÉTRICA S.A,TAEE4,7859971000130
TRANSMISSORA ALIANÇA DE ENERGIA ELÉTRICA S.A,TAEE11,7859971000130
TRÊS TENTOS AGROINDUSTRIAL S/A,TTEN3,94813102000170
TRISUL S.A.,TRIS3,8811643000127
TUPY S.A.,TUPY3,84683374000149
ULTRAPAR PARTICIPAÇÕES S.A.,UGPA3,33256439000139
UNICASA INDÚSTRIA DE MÓVEIS S.A.,UCAS3,90441460000148
UNIFIQUE TELECOMUNICAÇÕES S.A.,FIQE3,2255187000108
USINAS SID DE MINAS GERAIS S.A. – USIMINAS,USIM3,60894730000105
USINAS SID DE MINAS GERAIS S.A. – USIMINAS,USIM5,60894730000105
USINAS SID DE MINAS GERAIS S.A. – USIMINAS,USIM6,60894730000105
VALE S.A.,VALE3,33592510000154
VALID SOLUÇÕES S.A.,VLID3,33113309000147
VALID SOLUÇÕES S.A.,VLID11,33113309000147
"VAMOS LOCAÇÃO DE CAMINHÕES, MÁQUINAS E EQUIPAMENTOS S.A.",VAMO3,23373000000132
VIA S.A.,VIIA3,33041260065290
VIBRA ENERGIA S.A.,VBBR3,34274233000102
VITTIA FERTILIZANTES BIOLÓGICOS S.A.,VITT3,45365558000109
VIVARA PARTICIPAÇÕES S.A.,VIVA3,33839910000111
VIVER INCORPORADORA E CONSTRUTORA S.A.,VIVR3,67571414000141
VULCABRAS S.A.,VULC3,50926955000142
WEG S.A.,WEGE3,84429695000111
WESTWING COMÉRCIO VAREJISTA S.A.,WEST3,14776142000150
WILSON SONS HOLDINGS BRASIL S.A.,PORT3,33130691000105
WIZ SOLUÇÕES E CORRETAGEM DE SEGUROS S.A.,WIZS3,42278473000103
YDUQS PARTICIPAÇÕES S.A.,YDUQ3,8807432000110
